datetime,date,hour,day_of_week,is_summer,is_weekend,consumption_mw,voltage,outage
2026-02-25 00:26:49.464947,2026-02-25,0,2,0,0,242.98,216.5,0
2026-02-25 01:26:49.464947,2026-02-25,1,2,0,0,212.13,207.8,1
2026-02-25 02:26:49.464947,2026-02-25,2,2,0,0,244.84,228.2,0
2026-02-25 03:26:49.464947,2026-02-25,3,2,0,0,223.56,226.5,0
2026-02-25 04:26:49.464947,2026-02-25,4,2,0,0,207.9,204.0,0
2026-02-25 05:26:49.464947,2026-02-25,5,2,0,0,425.18,211.0,0
2026-02-25 06:26:49.464947,2026-02-25,6,2,0,0,449.68,217.8,0
2026-02-25 07:26:49.464947,2026-02-25,7,2,0,0,593.99,214.9,0
2026-02-25 08:26:49.464947,2026-02-25,8,2,0,0,595.27,214.2,0
2026-02-25 09:26:49.464947,2026-02-25,9,2,0,0,614.91,230.6,0
2026-02-25 10:26:49.464947,2026-02-25,10,2,0,0,459.05,228.1,0
2026-02-25 11:26:49.464947,2026-02-25,11,2,0,0,457.95,223.9,0
2026-02-25 12:26:49.464947,2026-02-25,12,2,0,0,455.45,205.1,0
2026-02-25 13:26:49.464947,2026-02-25,13,2,0,0,466.51,220.7,0
2026-02-25 14:26:49.464947,2026-02-25,14,2,0,0,651.16,222.7,0
2026-02-25 15:26:49.464947,2026-02-25,15,2,0,0,640.73,239.4,0
2026-02-25 16:26:49.464947,2026-02-25,16,2,0,0,628.7,232.1,0
2026-02-25 17:26:49.464947,2026-02-25,17,2,0,0,604.21,221.5,0
2026-02-25 18:26:49.464947,2026-02-25,18,2,0,0,611.11,221.1,0
2026-02-25 19:26:49.464947,2026-02-25,19,2,0,0,427.47,210.4,0
2026-02-25 20:26:49.464947,2026-02-25,20,2,0,0,452.61,223.6,0
2026-02-25 21:26:49.464947,2026-02-25,21,2,0,0,458.03,224.8,0
2026-02-25 22:26:49.464947,2026-02-25,22,2,0,0,437.39,216.1,0
2026-02-25 23:26:49.464947,2026-02-25,23,2,0,0,440.88,222.8,0
2026-02-26 00:26:49.464947,2026-02-26,0,3,0,0,231.14,221.8,0
2026-02-26 01:26:49.464947,2026-02-26,1,3,0,0,233.63,223.6,0
2026-02-26 02:26:49.464947,2026-02-26,2,3,0,0,227.1,219.8,0
2026-02-26 03:26:49.464947,2026-02-26,3,3,0,0,219.81,218.4,0
2026-02-26 04:26:49.464947,2026-02-26,4,3,0,0,262.47,227.1,0
2026-02-26 05:26:49.464947,2026-02-26,5,3,0,0,455.29,217.7,0
2026-02-26 06:26:49.464947,2026-02-26,6,3,0,0,443.5,217.1,0
2026-02-26 07:26:49.464947,2026-02-26,7,3,0,0,600.57,215.9,0
2026-02-26 08:26:49.464947,2026-02-26,8,3,0,0,596.35,203.1,0
2026-02-26 09:26:49.464947,2026-02-26,9,3,0,0,597.28,222.7,0
2026-02-26 10:26:49.464947,2026-02-26,10,3,0,0,428.61,214.4,0
2026-02-26 11:26:49.464947,2026-02-26,11,3,0,0,442.14,215.1,0
2026-02-26 12:26:49.464947,2026-02-26,12,3,0,0,438.38,228.7,0
2026-02-26 13:26:49.464947,2026-02-26,13,3,0,0,440.51,231.2,0
2026-02-26 14:26:49.464947,2026-02-26,14,3,0,0,632.07,219.3,0
2026-02-26 15:26:49.464947,2026-02-26,15,3,0,0,619.81,208.2,0
2026-02-26 16:26:49.464947,2026-02-26,16,3,0,0,636.13,226.6,0
2026-02-26 17:26:49.464947,2026-02-26,17,3,0,0,623.72,214.5,0
2026-02-26 18:26:49.464947,2026-02-26,18,3,0,0,645.46,213.0,0
2026-02-26 19:26:49.464947,2026-02-26,19,3,0,0,449.58,221.1,0
2026-02-26 20:26:49.464947,2026-02-26,20,3,0,0,476.01,220.3,0
